2012_02_01,458.41,458.99,453.98,455.12,11473300,455.12
2012_01_03,409.40,458.24,409.00,456.48,12947100,456.48
2011_12_01,382.54,409.09,377.68,405.00,11018800,405.00
2011_11_01,397.41,408.00,363.32,382.20,15928300,382.20
2011_10_03,380.37,426.70,354.24,404.78,22977700,404.78
2011_09_01,385.82,422.86,366.48,381.32,21284800,381.32
2011_08_01,397.78,399.50,353.02,384.83,25802600,384.83
2011_07_01,335.95,404.50,334.20,390.48,20139100,390.48
2011_06_01,348.87,352.13,310.50,335.67,15556500,335.67
2011_05_02,349.74,351.83,329.42,347.83,12457900,347.83
2011_04_01,351.11,355.13,320.16,350.13,18314600,350.13
2011_03_01,355.47,361.67,326.26,348.51,17982100,348.51
2011_02_01,341.30,364.90,337.72,353.21,18231200,353.21
2011_01_03,325.64,348.60,324.84,339.32,20033500,339.32
2010_12_01,315.27,326.66,314.89,322.56,11634300,322.56
2010_11_01,302.22,321.30,297.76,311.15,17023700,311.15
2010_10_01,286.15,319.00,277.77,300.98,21539200,300.98
2010_09_01,247.47,294.73,246.28,283.75,21298100,283.75
2010_08_02,260.44,264.28,235.56,243.10,16249800,243.10
2010_07_01,254.30,265.99,239.60,257.25,27411400,257.25
2010_06_01,259.69,279.01,242.20,251.53,28231600,251.53
2010_05_03,263.84,267.88,199.25,256.88,33746900,256.88
2010_04_01,237.41,272.46,232.75,261.09,21955000,261.09
2010_03_01,205.75,237.48,205.45,235.00,19541600,235.00
2010_02_01,192.37,205.17,190.85,204.62,21209600,204.62
2010_01_04,213.43,215.59,190.25,192.06,30855100,192.06
2009_12_01,202.24,213.95,188.68,210.73,19068700,210.73
2009_11_02,189.80,208.00,185.57,199.91,15856500,199.91
2009_10_01,185.35,208.71,180.70,188.50,22197500,188.50
2009_09_01,167.99,188.90,164.11,185.35,17906300,185.35
2009_08_03,165.21,172.49,159.42,168.21,14415700,168.21
2009_07_01,143.50,165.00,134.42,163.39,18449100,163.39
2009_06_01,136.47,146.40,132.88,142.43,21282100,142.43
2009_05_01,125.80,135.90,119.38,135.81,17702900,135.81
2009_04_01,104.09,127.20,103.89,125.83,20952600,125.83
2009_03_02,88.12,109.98,82.33,105.12,25963400,105.12
2009_02_02,89.10,103.00,86.51,89.31,27394900,89.31
2009_01_02,85.88,97.17,78.20,90.13,33487900,90.13
2008_12_01,91.30,103.60,84.55,85.35,33800900,85.35
2008_11_03,105.93,111.79,79.14,92.67,44957200,92.67
2008_10_01,111.92,116.40,85.00,107.59,66902300,107.59
2008_09_02,172.40,173.50,100.59,113.66,43697600,113.66
2008_08_01,159.90,180.45,152.91,169.53,23273800,169.53
2008_07_01,164.23,180.91,146.53,158.95,33096200,158.95
2008_06_02,188.60,189.95,164.15,167.44,34281100,167.44
2008_05_01,174.96,192.24,172.00,188.75,32650300,188.75
2008_04_01,146.30,180.00,143.61,173.95,38841700,173.95
2008_03_03,124.44,145.74,118.00,143.50,42313100,143.50
2008_02_01,136.24,136.59,115.44,125.02,46645400,125.02
2008_01_02,199.27,200.26,126.14,135.36,62108100,135.36
2007_12_03,181.86,202.96,176.99,198.08,31771400,198.08
2007_11_01,188.60,192.68,150.63,182.22,46553700,182.22
2007_10_01,154.63,190.12,152.93,189.95,37438400,189.95
2007_09_04,139.94,155.00,130.00,153.47,40500600,153.47
2007_08_01,133.64,139.65,111.62,138.48,39188900,138.48
2007_07_02,121.05,148.92,119.30,131.76,43845100,131.76
2007_06_01,121.10,127.61,115.40,122.04,41526100,122.04
2007_05_01,99.59,122.17,98.55,121.19,30295600,121.19
2007_04_02,94.14,102.50,89.60,99.80,25136100,99.80
2007_03_01,84.03,96.83,83.75,92.91,26816800,92.91
2007_02_01,86.23,90.81,82.86,84.61,27522200,84.61
2007_01_03,86.29,97.80,81.90,85.73,50117500,85.73
2006_12_01,91.80,92.33,76.77,84.84,32084300,84.84
2006_11_01,81.10,93.16,77.79,91.66,25009100,91.66
2006_10_02,75.10,82.60,72.60,81.08,24171100,81.08
2006_09_01,68.48,77.78,67.82,76.98,32370300,76.98
2006_08_01,67.22,70.00,62.58,67.85,28668200,67.85
2006_07_03,57.52,68.63,50.16,67.96,32808100,67.96
2006_06_01,59.85,63.10,55.41,57.27,30318700,57.27
2006_05_01,70.77,73.80,58.69,59.77,27418400,59.77
2006_04_03,63.67,72.05,61.05,70.39,39246800,70.39
2006_03_01,68.84,69.99,57.67,62.72,37277000,62.72
2006_02_01,74.95,76.46,62.90,68.49,37646000,68.49
2006_01_03,72.38,86.40,70.87,75.51,40699800,75.51
2005_12_01,68.95,75.46,68.81,71.89,23279600,71.89
2005_11_01,57.24,71.07,56.87,67.82,23898100,67.82
2005_10_03,54.16,57.98,47.87,57.59,33306600,57.59
2005_09_01,47.00,54.56,46.09,53.61,21903700,53.61
2005_08_01,42.57,48.33,42.02,46.89,15223200,46.89
2005_07_01,36.83,44.38,36.29,42.65,19029100,42.65
2005_06_01,39.89,40.76,35.52,36.81,19067500,36.81
2005_05_02,36.21,40.94,33.11,39.76,22555200,39.76
2005_04_01,42.09,44.45,34.00,36.06,34093700,36.06
2005_03_01,44.99,45.11,38.83,41.67,24857200,41.67
2005_02_01,77.05,90.88,43.96,44.86,41542400,44.86
2005_01_03,64.78,77.89,62.60,76.90,48909500,38.45
2004_12_01,67.79,67.95,61.60,64.40,26342800,32.20
2004_11_01,52.50,69.57,52.04,67.05,31408300,33.53
2004_10_01,39.12,53.20,37.65,52.40,28749200,26.20
2004_09_01,34.30,39.27,34.19,38.75,13772900,19.38
2004_08_02,31.18,35.18,29.70,34.49,13616700,17.25
2004_07_01,32.10,33.63,28.74,32.34,16904000,16.17
2004_06_01,27.79,34.19,27.61,32.54,14626300,16.27
2004_05_03,26.00,28.78,25.50,28.06,9732100,14.03
2004_04_01,26.89,29.58,25.49,25.78,15980700,12.89
2004_03_01,24.10,28.14,23.60,27.04,18659700,13.52
2004_02_02,22.46,24.10,21.70,23.92,10133200,11.96
2004_01_02,21.55,24.84,21.18,22.56,14487600,11.28
2003_12_01,21.04,21.90,19.25,21.37,9136800,10.69
2003_11_03,22.83,23.30,19.85,20.91,9492800,10.45
2003_10_01,20.71,25.01,20.19,22.89,11270700,11.44
2003_09_02,22.66,23.32,20.15,20.72,9579700,10.36
2003_08_01,21.00,22.85,19.42,22.61,7773300,11.31
2003_07_01,18.87,21.57,18.51,21.08,8960600,10.54
2003_06_02,18.10,19.69,16.63,19.06,10774600,9.53
2003_05_01,14.25,19.01,14.00,17.95,19037900,8.98
2003_04_01,14.20,14.95,12.72,14.22,14002500,7.11
2003_03_03,15.01,15.16,14.04,14.14,7287500,7.07
2003_02_03,14.41,15.30,13.80,15.01,8100300,7.51
2003_01_02,14.36,15.38,13.56,14.36,10862300,7.18
2002_12_02,15.90,16.10,13.78,14.33,8046200,7.16
2002_11_01,15.94,17.38,15.01,15.50,8348400,7.75
2002_10_01,14.59,16.44,13.36,16.07,10725500,8.03
2002_09_03,14.49,15.19,14.05,14.50,9874100,7.25
2002_08_01,15.11,16.25,13.97,14.75,8677200,7.38
2002_07_01,17.71,18.79,13.80,15.26,13683600,7.63
2002_06_03,23.39,23.45,15.98,17.72,16031900,8.86
2002_05_01,24.29,25.98,22.14,23.30,10294800,11.65
2002_04_01,23.38,26.17,23.00,24.27,10882700,12.14
2002_03_01,21.93,25.30,21.82,23.67,9691100,11.84
2002_02_01,24.34,25.98,20.94,21.70,15590900,10.85
2002_01_02,22.05,24.73,20.25,24.72,15278600,12.36
2001_12_03,21.06,24.03,20.09,21.90,8513600,10.95
2001_11_01,17.65,21.55,17.25,21.30,9649000,10.65
2001_10_01,15.49,19.42,14.83,17.56,12139700,8.78
2001_09_04,18.50,19.08,14.68,15.51,14039600,7.76
2001_08_01,19.01,19.90,17.28,18.55,8301600,9.27
2001_07_02,23.64,25.22,17.85,18.79,15119200,9.40
2001_06_01,20.13,25.10,19.35,23.25,13866700,11.62
2001_05_01,25.41,26.70,19.30,19.95,12843000,9.98
2001_04_02,22.09,27.12,18.75,25.49,20810300,12.74
2001_03_01,17.81,23.75,17.19,22.07,18184800,11.03
2001_02_01,20.69,21.94,18.00,18.25,14163200,9.12
2001_01_02,14.88,22.50,14.44,21.62,24563400,10.81
2000_12_01,17.00,17.50,13.63,14.88,16952000,7.44
2000_11_01,19.44,23.00,16.12,16.50,15818500,8.25
2000_10_02,26.69,26.75,17.50,19.56,37005800,9.78
2000_09_07,59.13,62.56,25.37,25.75,44181900,12.88
